Time,Thermocouple_Temp_1,Thermocouple_Temp_2,Thermocouple_Temp_3
0,100,100,100
30,99.8,100,100
60,99.2,100,100
90,98.5,99.7,100
120,97.9,99,99.3
150,97,98.1,98.4
180,96,97.1,97.3
210,95.2,96.3,96.5
240,94.3,95.3,95.5
270,93.4,94.3,94.6
300,92.5,93.5,93.8
330,91.6,92.6,92.9
360,90.9,91.9,92.1
390,90.2,91.1,91.3
420,89.5,90.4,90.6
450,88.9,89.7,89.9
480,88.4,89.2,89.4
510,87.5,88.4,88.6
540,86.9,87.9,88.1
570,86.3,87.2,87.3
600,85.9,86.7,86.8
630,85.2,86,86.1
660,84.7,85.5,85.7
690,84.2,85,85.2
720,83.6,84.4,84.6
750,83.1,83.9,84
780,82.6,83.3,83.5
810,82.1,82.8,83
840,81.6,82.4,82.6
870,81,81.8,81.9
900,80.5,81.3,81.4
930,80,80.8,81
960,79.5,80.3,80.5
990,79.1,79.9,80.1
1020,78.9,79.7,79.8
1050,78,78.7,78.9
1080,77.5,78.2,78.4
1110,77,77.6,77.8
1140,76.6,77.3,77.4
1170,76.1,76.8,77
1200,75.7,76.3,76.5
1230,75.2,75.9,76
1260,74.7,75.4,75.5
1290,74.4,75.1,75.2
1320,73.9,74.5,74.6
1350,73.6,74.2,74.3
1380,73.2,73.7,73.8
1410,72.8,73.4,73.4
1440,72.4,72.9,73
1470,71.9,72.4,72.5
1500,71.5,72,72.1
1530,71,71.6,71.7
1560,70.7,71.3,71.4
1590,70.3,70.9,71
1620,69.9,70.5,70.6
1650,69.5,70.1,70.2
1680,69.2,69.7,69.8
1710,68.9,69.4,69.4
1740,68.6,69,69.1
1770,68.2,68.7,68.7
1800,67.9,68.4,68.4
1830,67.5,68,68.1
1860,67.2,67.7,67.7
1890,66.8,67.3,67.3
1920,66.5,67,67.1
1950,66.2,66.6,66.7
1980,65.8,66.3,66.4
2010,65.6,66,66
2040,65.3,65.7,65.8
2070,65,65.5,65.5
