Time,Thermocouple_Temp_1,Thermocouple_Temp_2,Thermocouple_Temp_3
0,31,31,31
10,32,31,31
20,38,34,32
30,45,39,35
40,51,44,40
50,57,49,45
60,62,54,50
70,66,58,54
80,69,62,59
90,72,66,63
100,75,69,67
110,78,72,70
120,80,75,73
130,82,77,76
140,83,79,78
150,85,82,81
160,87,83,83
170,88,85,84
180,89,87,86
190,90,88,87
200,91,89,89
210,92,90,90
220,93,91,91
230,93,92,92
240,94,93,92
250,95,93,93
260,95,94,94
270,95,94,94
280,96,95,95
290,96,95,95
300,97,96,96
310,97,96,96
320,97,97,97
330,97,97,97
340,98,97,97
350,98,97,97
360,98,98,98
